FL_DATE,sum(DEP_DELAY),sum(CARRIER_DELAY),sum(WEATHER_DELAY),sum(NAS_DELAY),sum(SECURITY_DELAY),sum(LATE_AIRCRAFT_DELAY)
2018-07-06,621594.0,165214.0,74180.0,198428.0,1496.0,304908.0
2018-11-22,28812.0,54014.0,3728.0,15976.0,314.0,29354.0
2016-03-06,165324.0,82240.0,10082.0,56942.0,130.0,75912.0
2018-07-30,550428.0,180634.0,25922.0,150952.0,174.0,271048.0
2018-10-17,153324.0,107170.0,5178.0,64634.0,158.0,96426.0
2016-12-16,745844.0,209772.0,44122.0,195208.0,696.0,357734.0
2018-11-07,161228.0,102612.0,17834.0,78242.0,892.0,92312.0
2016-12-05,353220.0,120988.0,24890.0,85982.0,368.0,166706.0
2018-05-26,174310.0,94206.0,13222.0,66934.0,778.0,80536.0
2016-01-12,145012.0,98958.0,3866.0,35220.0,132.0,74774.0
2016-12-08,298456.0,112184.0,11928.0,97150.0,486.0,135364.0
2018-10-01,247294.0,126252.0,18842.0,85140.0,84.0,138172.0
2016-03-28,270394.0,93770.0,9826.0,99594.0,456.0,122902.0
2018-05-09,412308.0,128688.0,38084.0,154062.0,380.0,213910.0
2018-10-30,21044.0,63790.0,4718.0,59262.0,0.0,52092.0
2018-05-04,343250.0,138900.0,8172.0,72946.0,122.0,187302.0
2017-05-14,119156.0,71744.0,1438.0,48210.0,180.0,66308.0
2017-05-11,363378.0,133474.0,3222.0,109932.0,290.0,188070.0
2017-10-20,250236.0,98364.0,8374.0,65478.0,312.0,123716.0
2016-05-21,79910.0,50424.0,7284.0,24446.0,442.0,41994.0
2017-04-30,560006.0,166132.0,11912.0,202796.0,502.0,253942.0
2015-06-19,501992.0,188134.0,18136.0,70880.0,540.0,222324.0
2017-05-18,406882.0,142018.0,12384.0,147386.0,258.0,178682.0
2017-03-08,183638.0,83384.0,6544.0,63682.0,16.0,97510.0
2016-06-08,252128.0,97668.0,2456.0,81792.0,56.0,127724.0
2017-03-18,204706.0,93660.0,4274.0,63824.0,514.0,85908.0
2017-10-31,-10814.0,53062.0,114.0,16788.0,400.0,30310.0
2017-10-12,316268.0,105278.0,4208.0,125996.0,476.0,133286.0
2017-10-01,124450.0,84178.0,2340.0,34164.0,2704.0,69508.0
2015-03-23,663656.0,148746.0,64944.0,155708.0,634.0,331348.0
2015-03-29,169384.0,78448.0,2250.0,46456.0,122.0,78212.0
2016-05-16,190642.0,87830.0,3548.0,45264.0,658.0,86316.0
2017-04-19,148686.0,84304.0,5364.0,56654.0,216.0,76254.0
2017-05-16,210986.0,88042.0,6708.0,96024.0,130.0,102996.0
2017-10-05,145448.0,90110.0,2330.0,44660.0,1150.0,66712.0
2017-05-04,313574.0,115078.0,12890.0,101262.0,88.0,148512.0
2015-03-26,383050.0,125836.0,10126.0,138150.0,206.0,174404.0
2015-06-22,486172.0,162584.0,18176.0,86818.0,374.0,219908.0
2017-03-16,271444.0,109736.0,2486.0,50960.0,156.0,119160.0
2017-06-22,343652.0,135120.0,11572.0,74248.0,1212.0,166500.0
2016-05-27,501350.0,158404.0,41528.0,114602.0,154.0,242978.0
2017-05-24,537990.0,149496.0,27102.0,166364.0,272.0,275974.0
2016-06-12,457940.0,144942.0,48942.0,103168.0,194.0,220514.0
2017-03-09,214030.0,94438.0,4270.0,72450.0,194.0,104056.0
2017-05-05,681338.0,178304.0,17974.0,219908.0,310.0,314882.0
2015-06-04,216084.0,96386.0,4762.0,45716.0,488.0,107840.0
2016-06-23,758862.0,208164.0,25870.0,233918.0,520.0,385086.0
2016-06-29,304588.0,134932.0,4744.0,47902.0,654.0,134634.0
2017-03-23,179386.0,91308.0,8056.0,62134.0,114.0,94268.0
2017-10-16,155384.0,94532.0,2534.0,39496.0,92.0,74596.0
2015-03-27,357776.0,130728.0,5936.0,105118.0,246.0,161612.0
2017-04-16,36376.0,53448.0,2264.0,35634.0,96.0,45852.0
2015-03-28,181640.0,86762.0,1912.0,33822.0,186.0,84082.0
2017-06-07,407038.0,128168.0,22878.0,104342.0,118.0,208868.0
2016-06-20,260440.0,118288.0,5246.0,48622.0,332.0,122438.0
2017-03-22,181054.0,72256.0,4236.0,88932.0,122.0,95514.0
2017-10-30,248704.0,92038.0,4868.0,88452.0,474.0,122026.0
2017-06-24,456326.0,134496.0,27696.0,85916.0,636.0,226996.0
2017-06-29,324034.0,128824.0,9266.0,81306.0,570.0,150840.0
2017-10-06,232216.0,114172.0,2696.0,62314.0,138.0,110680.0
2017-10-17,103682.0,76020.0,1090.0,37044.0,128.0,60170.0
2016-05-08,139694.0,78090.0,7852.0,46744.0,336.0,71714.0
2017-06-19,1082134.0,218798.0,89764.0,342158.0,1166.0,478596.0
2016-06-02,502992.0,123788.0,50512.0,156736.0,76.0,250524.0
2015-06-29,271004.0,116086.0,11288.0,55472.0,200.0,115124.0
2016-06-05,426130.0,144954.0,16574.0,133316.0,402.0,183160.0
